_id,id,asset_id,location,alternative_name,type,accessible,hours,location_details,url,address,PostedDate,AssetName,Reason,Comments,Status,geometry
1,790,5445,Maryvale Park Outdoor Pool,Maryvale Park Outdoor Pool Washroom,Washroom Building,,9 a.m. to 10 p.m.,Entrance is located on the outside of the outdoor pool building on the east side of the building.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=790,5 Trestleside Grove  ,2025-05-09T12:38:44,Maryvale Park Outdoor Pool  Washroom,Maintenance/Repairs,"Men's Toilet Stall Closed - Maintenance / Repair
",2,"{""coordinates"": [[-79.30654676, 43.75309076]], ""type"": ""MultiPoint""}"
2,263,79231,Bellevue Square Park,Bellevue Square Park Washroom,Washroom Building,,9 a.m. to 10 p.m.,Located at the east end of the playground.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=263,5 Bellevue Ave,2025-05-09T08:49:16,Bellevue Square Park Washroom,Maintenance/Repairs,West washroom has been closed for a repair. East washroom is open.,2,"{""coordinates"": [[-79.40211534000001, 43.65359563]], ""type"": ""MultiPoint""}"
3,78,29354,June Rowlands Park,June Rowlands Park Washroom,Washroom Building,Entrance at Grade,9 a.m. to 10 p.m.,Located along Davisville Avenue southwest of the sports field.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=78,220 Davisville Ave  ,2025-05-07T06:41:01,June Rowlands Park Washroom,Maintenance/Repairs,Men's room sink leaking but both washrooms open.,2,"{""coordinates"": [[-79.38818857, 43.700286670000004]], ""type"": ""MultiPoint""}"
4,15,29527,Home Smith Park,Home Smith Park Washroom ,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,Located on the pathway next to Picnic Site #2.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=15,4101 Dundas St  W ,2025-05-05T12:41:52,Home Smith Park Washroom ,Technical Issues,No electricity in building.,0,"{""coordinates"": [[-79.50130041, 43.65855864]], ""type"": ""MultiPoint""}"
5,295,29286,Bickford Park,Bickford Park Washroom,Washroom Building,"Accessible Stall, Entrance at Grade, Child Change Table",9 a.m. to 10 p.m.,Located at the south end of the park next to dog off-leash area and the baseball diamond.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=295,400 Grace St  ,2025-05-04T20:25:41,Bickford Park Washroom,"Women's Washroom Closed, Men's Washroom Open",Womenâs closed for repairs.,2,"{""coordinates"": [[-79.41804098, 43.66036425]], ""type"": ""MultiPoint""}"
6,143,97106,David A. Balfour Park,David A. Balfour Park Washroom,Washroom Building,,9 a.m. to 10 p.m.,Located near the corner of Rosehill and Avoca Avenues.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=143,75 Rosehill Ave  ,2025-05-04T18:37:23,David A. Balfour Park Washroom,Maintenance/Repairs,All three washrooms closed to address pressure issues. ,0,"{""coordinates"": [[-79.38759769, 43.68691519]], ""type"": ""MultiPoint""}"
7,1061,29384,E.T. Seton Park,E.T. Seton Park Washroom,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,Located on the pathway between the north parking lot and archery range.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1061,73 Thorncliffe Park Dr  ,2025-05-04T15:24:24,E.T. Seton Park Washroom,Maintenance/Repairs,Women's washroom 1 sink is under repair,2,"{""coordinates"": [[-79.33740437, 43.70942662]], ""type"": ""MultiPoint""}"
8,137,29277,Baird Park,Baird Park Washroom,Washroom Building,"Accessible Stall, Entrance Access Ramp",9 a.m. to 10 p.m.,Located north of the bowling greens.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=137,275 Keele St  ,2025-05-04T14:46:34,Baird Park Washroom,Maintenance/Repairs,Men's washroom only. Women's is open.,2,"{""coordinates"": [[-79.46254137000001, 43.66223126]], ""type"": ""MultiPoint""}"
9,379,32743,McCleary Park,McCleary Park Washroom,Washroom Building,"Entrance at Grade, Entrance Access Ramp, Automatic Door Opener",9 a.m. to 10 p.m.,"Located between the baseball diamonds, next to Lake Shore Boulevard.",https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=379,755 Lake Shore Blvd  E ,2025-05-02T16:50:19,McCleary Park Washroom,Technical Issues,"No power to facility , Toronto Hydro working on power issue to roadway and Park  ,

Portable Toilet on site ",0,"{""coordinates"": [[-79.34069398, 43.65338408]], ""type"": ""MultiPoint""}"
10,128,32902,Little Norway Park,Little Norway Park Washroom,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 7:30 p.m.,Located north of the wading pool.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=128,659 Queens Quay  W ,2025-05-02T16:44:36,Little Norway Park Washroom,Maintenance/Repairs,"Awaiting water hook and floor repair in men's washroom , 2 Portable Toilets on site ",0,"{""coordinates"": [[-79.39838792, 43.63404546]], ""type"": ""MultiPoint""}"
